,ID,DATE,CURRENCY,PX_LAST
0,LUACTRUU Index,2013-09-27,,2383.8
1,LUACTRUU Index,2013-09-28,,
2,LUACTRUU Index,2013-09-29,,
3,LUACTRUU Index,2013-09-30,,2381.27
4,LUACTRUU Index,2013-10-01,,2379.11
5,LUACTRUU Index,2013-10-02,,2383.31
6,LUACTRUU Index,2013-10-03,,2386.51
7,LUACTRUU Index,2013-10-04,,2382.57
8,LUACTRUU Index,2013-10-05,,
9,LUACTRUU Index,2013-10-06,,
10,LUACTRUU Index,2013-10-07,,2385.48
11,LUACTRUU Index,2013-10-08,,2385.83
12,LUACTRUU Index,2013-10-09,,2383.99
13,LUACTRUU Index,2013-10-10,,2384.35
14,LUACTRUU Index,2013-10-11,,2387.6
15,LUACTRUU Index,2013-10-12,,
16,LUACTRUU Index,2013-10-13,,
17,LUACTRUU Index,2013-10-14,,
18,LUACTRUU Index,2013-10-15,,2383.07
19,LUACTRUU Index,2013-10-16,,2393.47
20,LUACTRUU Index,2013-10-17,,2406.77
21,LUACTRUU Index,2013-10-18,,2407.75
22,LUACTRUU Index,2013-10-19,,
23,LUACTRUU Index,2013-10-20,,
24,LUACTRUU Index,2013-10-21,,2405.76
25,LUACTRUU Index,2013-10-22,,2418.14
26,LUACTRUU Index,2013-10-23,,2420.06
27,LUACTRUU Index,2013-10-24,,2415.91
28,LUACTRUU Index,2013-10-25,,2418.47
29,LUACTRUU Index,2013-10-26,,
30,LUACTRUU Index,2013-10-27,,
31,LUACTRUU Index,2013-10-28,,2418.08
32,LUACTRUU Index,2013-10-29,,2418.94
33,LUACTRUU Index,2013-10-30,,2417.93
34,LUACTRUU Index,2013-10-31,,2416.48
35,LUACTRUU Index,2013-11-01,,2407.11
36,LUACTRUU Index,2013-11-02,,
37,LUACTRUU Index,2013-11-03,,
38,LUACTRUU Index,2013-11-04,,2410.33
39,LUACTRUU Index,2013-11-05,,2401.05
40,LUACTRUU Index,2013-11-06,,2402.64
41,LUACTRUU Index,2013-11-07,,2407.52
42,LUACTRUU Index,2013-11-08,,2389.05
43,LUACTRUU Index,2013-11-09,,
44,LUACTRUU Index,2013-11-10,,
45,LUACTRUU Index,2013-11-11,,
46,LUACTRUU Index,2013-11-12,,2386.98
47,LUACTRUU Index,2013-11-13,,2392.34
48,LUACTRUU Index,2013-11-14,,2399.75
49,LUACTRUU Index,2013-11-15,,2401.78
50,LUACTRUU Index,2013-11-16,,
51,LUACTRUU Index,2013-11-17,,
52,LUACTRUU Index,2013-11-18,,2409.29
53,LUACTRUU Index,2013-11-19,,2403.76
54,LUACTRUU Index,2013-11-20,,2394.52
55,LUACTRUU Index,2013-11-21,,2398.31
56,LUACTRUU Index,2013-11-22,,2405.19
57,LUACTRUU Index,2013-11-23,,
58,LUACTRUU Index,2013-11-24,,
59,LUACTRUU Index,2013-11-25,,2408.15
60,LUACTRUU Index,2013-11-26,,2415.24
61,LUACTRUU Index,2013-11-27,,2411.12
62,LUACTRUU Index,2013-11-28,,
63,LUACTRUU Index,2013-11-29,,2411.69
64,LUACTRUU Index,2013-11-30,,
65,LUACTRUU Index,2013-12-01,,
66,LUACTRUU Index,2013-12-02,,2405.49
67,LUACTRUU Index,2013-12-03,,2408.83
68,LUACTRUU Index,2013-12-04,,2398.79
69,LUACTRUU Index,2013-12-05,,2397.25
70,LUACTRUU Index,2013-12-06,,2396.57
71,LUACTRUU Index,2013-12-07,,
72,LUACTRUU Index,2013-12-08,,
73,LUACTRUU Index,2013-12-09,,2401.36
74,LUACTRUU Index,2013-12-10,,2412.42
