,ID,DATE,CURRENCY,PX_LAST,INDEX
0,LBUSTRUU Index,2013-09-20,,1800.23,LBUSTRUU Index
1,LBUSTRUU Index,2013-09-21,,,LBUSTRUU Index
2,LBUSTRUU Index,2013-09-22,,,LBUSTRUU Index
3,LBUSTRUU Index,2013-09-23,,1802.23,LBUSTRUU Index
4,LBUSTRUU Index,2013-09-24,,1807.71,LBUSTRUU Index
5,LBUSTRUU Index,2013-09-25,,1810.67,LBUSTRUU Index
6,LBUSTRUU Index,2013-09-26,,1808.12,LBUSTRUU Index
7,LBUSTRUU Index,2013-09-27,,1809.9,LBUSTRUU Index
8,LBUSTRUU Index,2013-09-28,,,LBUSTRUU Index
9,LBUSTRUU Index,2013-09-29,,,LBUSTRUU Index
10,LBUSTRUU Index,2013-09-30,,1809.53,LBUSTRUU Index
11,LBUSTRUU Index,2013-10-01,,1807.66,LBUSTRUU Index
12,LBUSTRUU Index,2013-10-02,,1809.5,LBUSTRUU Index
13,LBUSTRUU Index,2013-10-03,,1811.1,LBUSTRUU Index
14,LBUSTRUU Index,2013-10-04,,1808.5,LBUSTRUU Index
15,LBUSTRUU Index,2013-10-05,,,LBUSTRUU Index
16,LBUSTRUU Index,2013-10-06,,,LBUSTRUU Index
17,LBUSTRUU Index,2013-10-07,,1809.75,LBUSTRUU Index
18,LBUSTRUU Index,2013-10-08,,1809.22,LBUSTRUU Index
19,LBUSTRUU Index,2013-10-09,,1808.57,LBUSTRUU Index
20,LBUSTRUU Index,2013-10-10,,1807.75,LBUSTRUU Index
21,LBUSTRUU Index,2013-10-11,,1808.78,LBUSTRUU Index
22,LBUSTRUU Index,2013-10-12,,,LBUSTRUU Index
23,LBUSTRUU Index,2013-10-13,,,LBUSTRUU Index
24,LBUSTRUU Index,2013-10-14,,,LBUSTRUU Index
25,LBUSTRUU Index,2013-10-15,,1806.55,LBUSTRUU Index
26,LBUSTRUU Index,2013-10-16,,1811.41,LBUSTRUU Index
27,LBUSTRUU Index,2013-10-17,,1818.62,LBUSTRUU Index
28,LBUSTRUU Index,2013-10-18,,1818.79,LBUSTRUU Index
29,LBUSTRUU Index,2013-10-19,,,LBUSTRUU Index
30,LBUSTRUU Index,2013-10-20,,,LBUSTRUU Index
31,LBUSTRUU Index,2013-10-21,,1817.34,LBUSTRUU Index
32,LBUSTRUU Index,2013-10-22,,1824.57,LBUSTRUU Index
33,LBUSTRUU Index,2013-10-23,,1826.54,LBUSTRUU Index
34,LBUSTRUU Index,2013-10-24,,1824.07,LBUSTRUU Index
35,LBUSTRUU Index,2013-10-25,,1825.69,LBUSTRUU Index
36,LBUSTRUU Index,2013-10-26,,,LBUSTRUU Index
37,LBUSTRUU Index,2013-10-27,,,LBUSTRUU Index
38,LBUSTRUU Index,2013-10-28,,1825.58,LBUSTRUU Index
39,LBUSTRUU Index,2013-10-29,,1825.65,LBUSTRUU Index
40,LBUSTRUU Index,2013-10-30,,1824.77,LBUSTRUU Index
41,LBUSTRUU Index,2013-10-31,,1824.16,LBUSTRUU Index
42,LBUSTRUU Index,2013-11-01,,1818.96,LBUSTRUU Index
43,LBUSTRUU Index,2013-11-02,,,LBUSTRUU Index
44,LBUSTRUU Index,2013-11-03,,,LBUSTRUU Index
45,LBUSTRUU Index,2013-11-04,,1820.75,LBUSTRUU Index
46,LBUSTRUU Index,2013-11-05,,1815.73,LBUSTRUU Index
47,LBUSTRUU Index,2013-11-06,,1817.45,LBUSTRUU Index
48,LBUSTRUU Index,2013-11-07,,1819.85,LBUSTRUU Index
49,LBUSTRUU Index,2013-11-08,,1809.57,LBUSTRUU Index
50,LBUSTRUU Index,2013-11-09,,,LBUSTRUU Index
51,LBUSTRUU Index,2013-11-10,,,LBUSTRUU Index
52,LBUSTRUU Index,2013-11-11,,,LBUSTRUU Index
53,LBUSTRUU Index,2013-11-12,,1808.25,LBUSTRUU Index
54,LBUSTRUU Index,2013-11-13,,1811.95,LBUSTRUU Index
55,LBUSTRUU Index,2013-11-14,,1816.37,LBUSTRUU Index
56,LBUSTRUU Index,2013-11-15,,1817.19,LBUSTRUU Index
57,LBUSTRUU Index,2013-11-16,,,LBUSTRUU Index
58,LBUSTRUU Index,2013-11-17,,,LBUSTRUU Index
59,LBUSTRUU Index,2013-11-18,,1820.97,LBUSTRUU Index
60,LBUSTRUU Index,2013-11-19,,1817.99,LBUSTRUU Index
61,LBUSTRUU Index,2013-11-20,,1813.2,LBUSTRUU Index
62,LBUSTRUU Index,2013-11-21,,1814.16,LBUSTRUU Index
63,LBUSTRUU Index,2013-11-22,,1816.13,LBUSTRUU Index
64,LBUSTRUU Index,2013-11-23,,,LBUSTRUU Index
65,LBUSTRUU Index,2013-11-24,,,LBUSTRUU Index
66,LBUSTRUU Index,2013-11-25,,1816.9,LBUSTRUU Index
67,LBUSTRUU Index,2013-11-26,,1819.94,LBUSTRUU Index
68,LBUSTRUU Index,2013-11-27,,1817.2,LBUSTRUU Index
69,LBUSTRUU Index,2013-11-28,,,LBUSTRUU Index
70,LBUSTRUU Index,2013-11-29,,1817.33,LBUSTRUU Index
71,LBUSTRUU Index,2013-11-30,,,LBUSTRUU Index
72,LBUSTRUU Index,2013-12-01,,,LBUSTRUU Index
73,LBUSTRUU Index,2013-12-02,,1812.75,LBUSTRUU Index
74,LBUSTRUU Index,2013-12-03,,1814.21,LBUSTRUU Index
75,LBUSTRUU Index,2013-12-04,,1808.88,LBUSTRUU Index
76,LBUSTRUU Index,2013-12-05,,1807.91,LBUSTRUU Index
77,LBUSTRUU Index,2013-12-06,,1808.19,LBUSTRUU Index
78,LBUSTRUU Index,2013-12-07,,,LBUSTRUU Index
79,LBUSTRUU Index,2013-12-08,,,LBUSTRUU Index
80,LBUSTRUU Index,2013-12-09,,1810.72,LBUSTRUU Index
81,LBUSTRUU Index,2013-12-10,,1815.87,LBUSTRUU Index
82,LBUSTRUU Index,2013-12-11,,1811.99,LBUSTRUU Index
83,LBUSTRUU Index,2013-12-12,,1809.39,LBUSTRUU Index
84,LBUSTRUU Index,2013-12-13,,1810.73,LBUSTRUU Index
85,LBUSTRUU Index,2013-12-14,,,LBUSTRUU Index
86,LBUSTRUU Index,2013-12-15,,,LBUSTRUU Index
87,LBUSTRUU Index,2013-12-16,,1810.75,LBUSTRUU Index
88,LBUSTRUU Index,2013-12-17,,1814.15,LBUSTRUU Index
89,LBUSTRUU Index,2013-12-18,,1811.6,LBUSTRUU Index
90,LBUSTRUU Index,2013-12-19,,1809.23,LBUSTRUU Index
91,LBUSTRUU Index,2013-12-20,,1812.62,LBUSTRUU Index
92,LBUSTRUU Index,2013-12-21,,,LBUSTRUU Index
93,LBUSTRUU Index,2013-12-22,,,LBUSTRUU Index
94,LBUSTRUU Index,2013-12-23,,1810.76,LBUSTRUU Index
95,LBUSTRUU Index,2013-12-24,,1806.0,LBUSTRUU Index
96,LBUSTRUU Index,2013-12-25,,,LBUSTRUU Index
97,LBUSTRUU Index,2013-12-26,,1805.7,LBUSTRUU Index
98,LBUSTRUU Index,2013-12-27,,1805.42,LBUSTRUU Index
99,LBUSTRUU Index,2013-12-28,,,LBUSTRUU Index
100,LBUSTRUU Index,2013-12-29,,,LBUSTRUU Index
101,LBUSTRUU Index,2013-12-30,,1808.92,LBUSTRUU Index
102,LBUSTRUU Index,2013-12-31,,1807.06,LBUSTRUU Index
103,LBUSTRUU Index,2014-01-01,,,LBUSTRUU Index
104,LBUSTRUU Index,2014-01-02,,1808.44,LBUSTRUU Index
105,LBUSTRUU Index,2014-01-03,,1807.98,LBUSTRUU Index
106,LBUSTRUU Index,2014-01-04,,,LBUSTRUU Index
107,LBUSTRUU Index,2014-01-05,,,LBUSTRUU Index
108,LBUSTRUU Index,2014-01-06,,1811.22,LBUSTRUU Index
109,LBUSTRUU Index,2014-01-07,,1813.38,LBUSTRUU Index
110,LBUSTRUU Index,2014-01-08,,1808.38,LBUSTRUU Index
111,LBUSTRUU Index,2014-01-09,,1810.51,LBUSTRUU Index
112,LBUSTRUU Index,2014-01-10,,1820.02,LBUSTRUU Index
113,LBUSTRUU Index,2014-01-11,,,LBUSTRUU Index
114,LBUSTRUU Index,2014-01-12,,,LBUSTRUU Index
115,LBUSTRUU Index,2014-01-13,,1823.47,LBUSTRUU Index
116,LBUSTRUU Index,2014-01-14,,1818.91,LBUSTRUU Index
117,LBUSTRUU Index,2014-01-15,,1817.86,LBUSTRUU Index
118,LBUSTRUU Index,2014-01-16,,1821.2,LBUSTRUU Index
119,LBUSTRUU Index,2014-01-17,,1822.73,LBUSTRUU Index
120,LBUSTRUU Index,2014-01-18,,,LBUSTRUU Index
121,LBUSTRUU Index,2014-01-19,,,LBUSTRUU Index
122,LBUSTRUU Index,2014-01-20,,,LBUSTRUU Index
